study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_domain;outcome_type;instrument;time;time_weeks;rating;baseline_m_arm1;baseline_m_arm2;baseline_sd_arm1;baseline_sd_arm2;mean_arm1;mean_arm2;sd_arm1;sd_arm2;n_arm1;n_arm2;m_change_arm1;m_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;.id;.g;.g_se;.log_rr;.log_rr_se;outcome_hierachy;rob_domain1;rob_domain2;rob_domain3;rob_domain4;rob_domain5;rob_overall;protocol;country;recruitment;incentive;specify_incentive;target_group;manual;program_name;guidance;setting_arm1;setting_arm2;internet_based;no_sessions_arm1;no_sessions_arm2;time_total_arm1;time_total_arm2;duration_therapy_arm1;duration_therapy_arm2;sessions_weekly_arm1;sessions_weekly_arm2;duration_session_arm1;duration_session_arm2;ave_modules_completed_arm1;ave_modules_completed_arm2;sd_modules_completed_arm1;sd_modules_completed_arm2;prop_modules_completed_arm1;m_age_arm1;m_age_arm2;sd_age_arm1;sd_age_arm2;female_arm1;female_arm2;female_total;prop_female_total;n_allocation_arm1;n_allocation_arm2;n_total_allocation;n_start_arm1;n_start_arm2;n_total_start;n_comp_arm1;n_comp_arm2;n_total_comp;reasons_partref;reasons_treatref;reasons_preterm;diagnosis_how;diagnosis_which;m_no_symptoms_arm1;m_no_symptoms_arm2;sd_no_symptoms_arm1;sd_no_symptoms_arm2;m_duration_symptoms_arm1;m_duration_symptoms_arm2;sd_duration_symptoms_arm1;sd_duration_symptoms_arm2;comorbidities_ex;specify_comorbidities_ex;consumer_satis;specify_consumer_satis;neg_eff;specify_neg_eff
allen, 2006;cbt;tau;NA;NA;som;msd;sss;follow up;60;self-report;61,88;56,22;30,23;30,22;35,02;45,39;25,9;25,25;43;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;allen_2006_msd_sss_followup_60.0_self-report_cbt_tau_NA_NA;-0,401597282;0,220508322;NA;NA;primary;some concerns;low;low;high;some concerns;high;NA;us;combined;no;NA;adults;yes;treating somatizazion: a cognitive-behavioral appraoch (woolfolk and allen);psy;individual;NA;no;10;NA;600;NA;12;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;45,47;47,85;8,45;10,99;36;39;75;0,89;43;41;84;43;41;84;39;38;77;NA;NA;NA;clinical interview;sd (dsm-iv);NA;NA;NA;NA;299,4;300;138,48;181,44;yes;an unstable major medical condition, a medication regimen that had not been stable for at least 2 months prior to baseline, active suicidal ideation, a history of psychosis, or current psychoactive substance dependence;no;NA;no;NA
allen, 2006;cbt;tau;NA;NA;phs;msd;sf-36 physical functioning;post;12;self-report;52,56;55,24;28,52;29,2;63,28;56,92;26,75;26,7;43;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;allen_2006_msd_sf-36physicalfunctioning_post_12.0_self-report_cbt_tau_NA_NA;0,23579064;0,219050566;NA;NA;primary;some concerns;low;low;high;some concerns;high;NA;us;combined;no;NA;adults;yes;treating somatizazion: a cognitive-behavioral appraoch (woolfolk and allen);psy;individual;NA;no;10;NA;600;NA;12;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;45,47;47,85;8,45;10,99;36;39;75;0,89;43;41;84;43;41;84;39;38;77;NA;NA;NA;clinical interview;sd (dsm-iv);NA;NA;NA;NA;299,4;300;138,48;181,44;yes;an unstable major medical condition, a medication regimen that had not been stable for at least 2 months prior to baseline, active suicidal ideation, a history of psychosis, or current psychoactive substance dependence;no;NA;no;NA
allen, 2006;cbt;tau;NA;NA;phs;msd;sf-36 physical functioning;follow up;60;self-report;52,56;55,24;28,52;29,2;68,57;59,17;28,67;28,14;43;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;allen_2006_msd_sf-36physicalfunctioning_followup_60.0_self-report_cbt_tau_NA_NA;0,327802777;0,219767078;NA;NA;primary;some concerns;low;low;high;some concerns;high;NA;us;combined;no;NA;adults;yes;treating somatizazion: a cognitive-behavioral appraoch (woolfolk and allen);psy;individual;NA;no;10;NA;600;NA;12;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;45,47;47,85;8,45;10,99;36;39;75;0,89;43;41;84;43;41;84;39;38;77;NA;NA;NA;clinical interview;sd (dsm-iv);NA;NA;NA;NA;299,4;300;138,48;181,44;yes;an unstable major medical condition, a medication regimen that had not been stable for at least 2 months prior to baseline, active suicidal ideation, a history of psychosis, or current psychoactive substance dependence;no;NA;no;NA
blanchard, 2007;cbt;att plac;cbt;att plac;som;msd;physician global ratings;post;12;clinican;5,8;6;1;1,2;4,4;4,9;1,4;1,5;109;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;blanchard_2007_msd_physicianglobalratings_post_12.0_clinican_cbt_attplac_cbt_attplac;-0,348655148;0,187697294;NA;NA;primary;some concerns;low;low;low;some concerns;some concerns;NA;us;combined;no;NA;adults;yes;NA;psy;group;NA;no;10;NA;900;NA;10;NA;1;NA;90;NA;NA;NA;NA;NA;NA;48,1;49,38;13,7;13;85;32;117;0,71;120;44;164;120;44;164;NA;NA;NA;NA;NA;NA;clinical interview;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;exclusionary criteria included organic GI disease (inflammatory bowel disease or lactose malabsorption syndrome), or very low baseline diary pain ratings (see above), or the presence of a psychotic disorder, or current severe major depression with moderate to severe suicidal ideation as determined by the SCID (see below). Additional exclusions were for current psychotherapy of any kind or lifetime exposure to CBT.;no;NA;no;NA
blanchard, 2007;cbt;psy plac;cbt;psy plac;som;msd;physician global ratings;post;12;clinican;5,8;6;1;1,2;4,4;5;1,4;1,8;109;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;blanchard_2007_msd_physicianglobalratings_post_12.0_clinican_cbt_psyplac_cbt_psyplac;-0,390601098;0,177229992;NA;NA;primary;some concerns;low;low;low;some concerns;some concerns;NA;us;combined;no;NA;adults;yes;NA;psy;group;NA;no;10;NA;900;NA;10;NA;1;NA;90;NA;NA;NA;NA;NA;NA;48,1;51,5;13,7;11,3;85;38;123;0,74;120;46;166;120;46;166;NA;NA;NA;NA;NA;NA;clinical interview;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;exclusionary criteria included organic GI disease (inflammatory bowel disease or lactose malabsorption syndrome), or very low baseline diary pain ratings (see above), or the presence of a psychotic disorder, or current severe major depression with moderate to severe suicidal ideation as determined by the SCID (see below). Additional exclusions were for current psychotherapy of any kind or lifetime exposure to CBT.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;som;msd;ibs-sss;post;8;self-report;21,5;21;4,3;4,6;16,1;17;4,8;4,6;21;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_ibs-sss_post_8.0_self-report_cbt_tau_NA_NA;-0,188367027;0,299489843;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;som;msd;ibs-sss;follow up;52;self-report;21,5;21;4,3;4,6;13;11,4;4,7;4;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_ibs-sss_followup_52.0_self-report_cbt_tau_NA_NA;0,361499806;0,323914419;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;depr;msd;hads-d;post;8;self-report;5,3;5,6;4;3,8;4,1;4,1;3,5;3,4;21;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_hads-d_post_8.0_self-report_cbt_tau_NA_NA;0;0,298807152;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;depr;msd;hads-d;follow up;52;self-report;5,3;5,6;4;3,8;3,6;4,4;4,1;4,5;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_hads-d_followup_52.0_self-report_cbt_tau_NA_NA;-0,181371595;0,321891438;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;anx;msd;hads-a;post;8;self-report;9,1;8,5;3,7;8,2;8,2;6,9;3,5;4,4;21;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_hads-a_post_8.0_self-report_cbt_tau_NA_NA;0,318770487;0,300758124;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
boyce, 2003;cbt;tau;NA;NA;anx;msd;hads-a;follow up;52;self-report;9,1;8,5;3,7;8,2;7,6;6,5;5;4;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;boyce_2003_msd_hads-a_followup_52.0_self-report_cbt_tau_NA_NA;0,240137822;0,322405085;NA;NA;primary;low;some concerns;low;high;some concerns;high;NA;au;combined;no;NA;adults;yes;manual-based program based on the hypochondriasis model of Salkovskis and the CBT approach used for anxiety disorders as outlined by Andrews et al.;psy;individual;NA;no;8;NA;480;NA;8;NA;1;NA;60;NA;NA;NA;NA;NA;NA;41,2;41,6;12,2;11,6;28;28;56;0,81;35;34;69;35;34;69;NA;NA;NA;NA;NA;NA;combined;ibs;NA;NA;NA;NA;NA;NA;NA;NA;yes;subjects were excluded if they answered positively to the interviewer’s questions regarding the presence of any major current medical or psychotic illness, a history of alcoholism, current psychological treatment and current use of antide- pressants or antipsychotic medications, or current use of medications that could affect bowel function (e.g., antispas- modics, prokinetics). Although approximately 50% of the subjects had previously been on medication for IBS, the vast majority of these people were not taking medication at the time of randomization into the study.;no;NA;no;NA
